Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,7.108041e+02,3.410470e+02,3.508580e+02,-5.938073e-01,7.690480e-01,-2.365549e-01
2,raalf,normal,6.956781e+02,3.209929e+02,3.487249e+02,-1.285091e-01,8.552337e-02,-9.880138e-01
3,lflac,normal,6.408713e+02,4.780784e+02,4.878875e+02,4.513428e-01,5.530885e-01,7.002733e-01
4,rflac,normal,5.330239e+02,3.626888e+02,4.720519e+02,-4.099803e-02,-6.873041e-01,7.252118e-01
5,lfsq,normal,5.055776e+02,6.531990e+02,4.557414e+02,2.493929e-01,6.081436e-01,7.536342e-01
6,rfsq,normal,3.491747e+02,4.865473e+02,4.339199e+02,-5.201323e-01,-7.343447e-01,4.361196e-01
7,lmax,normal,7.843503e+02,3.196931e+02,4.270914e+02,9.092507e-01,1.360206e-01,3.933971e-01
8,rmax,normal,7.332878e+02,2.419086e+02,4.117029e+02,2.182416e-01,-8.006498e-01,5.579700e-01
9,lorb,normal,7.139398e+02,4.618102e+02,4.222200e+02,5.429713e-01,-6.199395e-01,5.664425e-01
10,rorb,normal,5.607703e+02,2.976454e+02,4.085383e+02,6.771092e-01,-8.107094e-02,7.314031e-01
11,lmaxna,normal,7.095762e+02,3.822363e+02,4.873549e+02,-1.295490e-01,-5.183532e-01,8.452970e-01
12,rmaxna,normal,6.351015e+02,3.107144e+02,4.804917e+02,-1.954754e-01,-6.201573e-01,7.597331e-01
13,lpto,normal,4.188026e+02,8.694402e+02,2.556446e+02,7.452261e-01,1.241987e-01,-6.551433e-01
14,rpto,normal,1.549290e+02,5.718055e+02,2.098378e+02,-4.959749e-01,-5.629336e-01,-6.611465e-01
15,lsqzy,normal,5.181033e+02,7.864482e+02,3.028516e+02,3.527633e-01,7.767516e-01,5.217422e-01
16,rsqzy,normal,2.338620e+02,4.756649e+02,2.656687e+02,-8.611049e-01,-5.084260e-01,1.225622e-03
17,lzya,normal,6.666385e+02,6.231609e+02,3.626741e+02,-4.415097e-01,4.619334e-01,7.692118e-01
18,rzya,normal,4.071853e+02,3.352101e+02,3.285086e+02,-4.590580e-01,8.832014e-02,8.840053e-01
19,brg,normal,3.317456e+02,6.546729e+02,4.351002e+02,-4.805379e-01,1.922072e-01,8.556516e-01
20,pari,normal,2.392182e+02,7.440067e+02,3.661232e+02,-9.367061e-02,7.940481e-01,6.005943e-01
21,paro,normal,1.606796e+02,8.092323e+02,2.525063e+02,-5.768912e-01,8.057016e-01,-1.343185e-01
22,nas,normal,5.574688e+02,4.490026e+02,4.979070e+02,-9.235590e-02,-7.219498e-01,6.857544e-01
23,nsl,normal,7.644357e+02,2.654668e+02,4.848383e+02,2.583596e-02,-5.560874e-01,8.307221e-01
24,ids,normal,7.806515e+02,2.576207e+02,3.853655e+02,5.593848e-01,3.526624e-01,7.501451e-01
25,leam,normal,4.453904e+02,8.302120e+02,2.009325e+02,-1.384642e-01,9.890582e-01,5.090671e-02
26,ream,normal,1.986003e+02,5.499059e+02,1.778972e+02,-9.155177e-01,2.800042e-01,-2.888338e-01
27,rpmn,normal,5.366700e+02,4.519315e+02,4.962649e+02,-2.041750e-01,-1.043063e-01,9.733616e-01
28,lpmn,normal,5.565994e+02,4.698270e+02,4.965346e+02,-4.915973e-01,8.708088e-01,-4.915816e-03
29,aapl,normal,6.631981e+02,4.853213e+02,2.144565e+02,5.250157e-01,-8.335671e-01,1.718268e-01
30,sial,normal,5.857869e+02,5.785754e+02,2.049218e+02,2.140505e-01,5.571101e-01,8.023782e-01
31,tmal,normal,5.423911e+02,7.534153e+02,1.032348e+02,-5.152100e-02,9.442894e-01,-3.250586e-01
32,pmcl,normal,5.174523e+02,7.779690e+02,2.412765e+02,1.258450e-02,9.691284e-01,-2.462350e-01
33,iiaml,normal,7.030964e+02,3.898986e+02,1.506464e+02,3.897740e-01,-2.064294e-01,-8.974761e-01
34,lsiar,normal,7.134562e+02,3.715402e+02,2.124775e+02,-9.093224e-02,7.369815e-01,6.697683e-01
