Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,2.705738e+02,6.744131e+02,3.161156e+02,5.754570e-01,-2.597403e-01,-7.754897e-01
2,raalf,normal,2.909099e+02,6.966123e+02,3.150665e+02,-5.613202e-02,-2.529665e-01,-9.658453e-01
3,lflac,normal,3.113723e+02,5.325327e+02,4.631335e+02,2.087199e-02,-1.583343e-01,9.871649e-01
4,rflac,normal,4.314540e+02,6.460820e+02,4.581963e+02,5.710096e-01,4.848221e-01,6.624920e-01
5,lfsq,normal,4.415645e+02,3.369005e+02,4.381165e+02,9.757071e-02,-3.823713e-01,9.188429e-01
6,rfsq,normal,6.211461e+02,4.954818e+02,4.248488e+02,5.511395e-01,1.428136e-01,8.221007e-01
7,lmax,normal,1.898198e+02,7.278055e+02,3.728134e+02,-7.838979e-01,3.409459e-01,5.189025e-01
8,rmax,normal,2.503775e+02,7.869537e+02,3.690419e+02,7.012110e-02,9.949781e-01,-7.142557e-02
9,lorb,normal,2.491379e+02,5.503551e+02,3.978789e+02,6.670817e-01,5.538985e-01,4.981952e-01
10,rorb,normal,4.234785e+02,7.066170e+02,3.935807e+02,-5.379780e-01,-3.636199e-01,7.604999e-01
11,lmaxna,normal,2.585713e+02,6.416505e+02,4.590826e+02,-1.607872e-01,2.732318e-01,9.484154e-01
12,rmaxna,normal,3.432930e+02,7.024136e+02,4.588976e+02,2.331403e-01,4.484915e-01,8.628447e-01
13,lpto,normal,5.229207e+02,1.276698e+02,2.452119e+02,-9.771774e-01,-2.104186e-01,2.912973e-02
14,rpto,normal,8.143331e+02,3.951235e+02,2.321506e+02,1.206765e-01,9.761279e-01,-1.805862e-01
15,lsqzy,normal,4.111089e+02,2.191836e+02,2.673610e+02,2.504970e-01,-7.636448e-01,-5.950613e-01
16,rsqzy,normal,7.472860e+02,5.095277e+02,2.567328e+02,9.225604e-01,3.713162e-01,1.049118e-01
17,lzya,normal,2.810322e+02,3.927472e+02,3.372135e+02,8.550209e-01,-1.653438e-01,4.915289e-01
18,rzya,normal,5.774892e+02,6.602669e+02,3.163826e+02,3.091268e-01,3.490110e-02,9.503802e-01
19,brg,normal,6.196769e+02,3.418033e+02,4.254363e+02,6.233336e-01,1.861431e-01,7.594775e-01
20,pari,normal,6.992338e+02,2.387887e+02,3.642456e+02,5.073699e-01,-4.018715e-01,7.622828e-01
21,paro,normal,7.711578e+02,1.551768e+02,2.675408e+02,4.635631e-01,-8.657044e-01,-1.888519e-01
22,nas,normal,4.058416e+02,5.522899e+02,4.770570e+02,-1.317637e-01,3.222181e-01,9.374508e-01
23,nsl,normal,2.179436e+02,7.652676e+02,4.475647e+02,4.307475e-01,5.131073e-01,7.424133e-01
24,ids,normal,2.060215e+02,7.691727e+02,3.443047e+02,5.855632e-01,8.039836e-01,1.035656e-01
25,leam,normal,4.906083e+02,1.679374e+02,1.827110e+02,2.816187e-01,-8.726084e-01,-3.990557e-01
26,ream,normal,7.811658e+02,4.258389e+02,1.647689e+02,9.813858e-01,1.625415e-01,-1.022841e-01
27,rpmn,normal,4.289641e+02,5.493408e+02,4.787163e+02,3.390696e-01,6.513558e-02,9.385036e-01
28,lpmn,normal,4.078209e+02,5.313388e+02,4.791486e+02,1.661480e-01,-2.157267e-01,9.622145e-01
29,aapl,normal,3.034329e+02,5.366404e+02,1.911689e+02,-4.935352e-01,8.603140e-01,1.276044e-01
30,sial,normal,3.730517e+02,4.328131e+02,1.807304e+02,-1.567107e-01,-7.167803e-01,6.794614e-01
31,tmal,normal,4.036365e+02,2.502275e+02,7.438332e+01,-1.584059e-01,-7.898607e-01,-5.924759e-01
32,pmcl,normal,4.232133e+02,2.340857e+02,2.166155e+02,2.982353e-01,-9.514092e-01,-7.665768e-02
33,iiaml,normal,2.737345e+02,6.339669e+02,1.210906e+02,-6.199241e-01,2.955773e-01,-7.268618e-01
34,lsiar,normal,2.648517e+02,6.511970e+02,1.817213e+02,2.688608e-02,-7.037482e-01,7.099406e-01
