Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,6.696741e+02,3.788117e+02,5.684633e+02,8.200343e-01,5.523731e-01,-1.497589e-01
2,raalf,normal,6.863113e+02,3.690862e+02,5.421497e+02,1.963638e-01,9.467009e-01,-2.553402e-01
3,lflac,normal,4.670917e+02,2.788529e+02,5.598392e+02,-5.448509e-01,-5.129515e-01,6.633388e-01
4,rflac,normal,5.778691e+02,2.256709e+02,4.248717e+02,-1.707063e-01,-9.762231e-01,1.335960e-01
5,lfsq,normal,2.914847e+02,3.418457e+02,4.692076e+02,-6.636663e-01,-7.428654e-01,8.773900e-02
6,rfsq,normal,4.143582e+02,2.664110e+02,2.687398e+02,2.284819e-01,-7.970762e-01,-5.589862e-01
7,lmax,normal,7.053118e+02,3.175107e+02,6.452186e+02,6.362023e-01,-5.811030e-01,5.075096e-01
8,rmax,normal,7.321698e+02,2.740683e+02,5.596130e+02,7.703781e-01,-5.819079e-01,-2.605775e-01
9,lorb,normal,5.192041e+02,3.459630e+02,6.171458e+02,3.119804e-01,-8.989273e-01,3.075675e-01
10,rorb,normal,6.575822e+02,2.921628e+02,4.263596e+02,-6.335184e-01,-3.291597e-01,7.002202e-01
11,lmaxna,normal,6.179259e+02,2.678273e+02,6.085255e+02,-3.947101e-01,-7.395760e-01,5.451892e-01
12,rmaxna,normal,6.737581e+02,2.415897e+02,5.332075e+02,6.016752e-01,-6.429136e-01,-4.739715e-01
13,lpto,normal,1.264091e+02,5.602231e+02,3.750128e+02,-3.430850e-01,4.124623e-01,8.439002e-01
14,rpto,normal,3.285405e+02,4.551729e+02,5.304382e+01,2.459006e-01,-5.830230e-01,-7.743495e-01
15,lsqzy,normal,2.107101e+02,5.267441e+02,4.647766e+02,-7.411243e-01,3.720868e-01,5.588258e-01
16,rsqzy,normal,4.286760e+02,4.029997e+02,1.117438e+02,1.945123e-01,-4.966813e-01,-8.458561e-01
17,lzya,normal,3.984559e+02,4.413261e+02,5.965065e+02,-7.087395e-01,-7.052751e-01,1.659707e-02
18,rzya,normal,6.031825e+02,3.426926e+02,2.593919e+02,-1.390378e-01,-8.334640e-01,-5.347955e-01
19,brg,normal,2.779736e+02,3.086892e+02,3.136477e+02,-1.805387e-01,-9.791544e-01,-9.307224e-02
20,pari,normal,1.748876e+02,3.739739e+02,2.183049e+02,-2.398265e-01,-9.708143e-01,1.608054e-03
21,paro,normal,1.035201e+02,4.696045e+02,1.288252e+02,-9.302080e-01,1.132574e-01,-3.491213e-01
22,nas,normal,4.657085e+02,2.442611e+02,4.591605e+02,-1.030681e-01,-5.498016e-01,8.289121e-01
23,nsl,normal,6.716949e+02,2.335247e+02,5.984847e+02,-1.687209e-01,-9.778512e-01,1.238562e-01
24,ids,normal,7.472680e+02,3.215036e+02,6.221737e+02,6.018816e-01,-1.415003e-01,7.859493e-01
25,leam,normal,1.738460e+02,6.074509e+02,3.828858e+02,-9.378209e-01,2.964667e-01,-1.805532e-01
26,ream,normal,3.743568e+02,5.026933e+02,7.248010e+01,9.846761e-02,-5.641168e-02,-9.935400e-01
27,rpmn,normal,4.688930e+02,2.389556e+02,4.418217e+02,3.524589e-01,-5.977233e-01,7.200692e-01
28,lpmn,normal,4.536313e+02,2.502213e+02,4.736015e+02,1.666730e-01,-9.660411e-01,1.974452e-01
29,aapl,normal,5.647176e+02,5.199512e+02,5.213391e+02,6.904693e-01,-4.568606e-01,5.608302e-01
30,sial,normal,4.608614e+02,5.397111e+02,4.693063e+02,-6.499145e-01,-7.397491e-01,-1.743055e-01
31,tmal,normal,3.024229e+02,6.883766e+02,4.199467e+02,-9.960405e-01,5.944849e-02,-6.610224e-02
32,pmcl,normal,2.496315e+02,5.800423e+02,4.518378e+02,-7.803279e-01,4.764035e-01,4.051275e-01
33,iiaml,normal,6.793301e+02,5.614103e+02,5.264830e+02,5.872360e-01,8.048248e-01,-8.608645e-02
34,lsiar,normal,6.826802e+02,4.954539e+02,5.440652e+02,-8.636772e-01,-4.868695e-01,1.304598e-01
