Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,7.632850e+02,3.748558e+02,3.164691e+02,-7.329771e-01,5.569690e-01,-3.905510e-01
2,raalf,normal,7.552992e+02,3.493793e+02,3.095120e+02,-1.289290e-01,1.813542e-01,-9.749297e-01
3,lflac,normal,6.696296e+02,4.812524e+02,4.815501e+02,-1.256926e-01,-7.649369e-02,9.891158e-01
4,rflac,normal,6.068505e+02,3.245551e+02,4.624297e+02,7.395898e-03,-1.511168e-01,9.884883e-01
5,lfsq,normal,4.735763e+02,6.216822e+02,4.772368e+02,-2.125628e-01,3.696262e-01,9.045405e-01
6,rfsq,normal,3.654369e+02,3.967703e+02,4.527645e+02,-4.674225e-01,-6.376688e-01,6.122865e-01
7,lmax,normal,8.590344e+02,3.498106e+02,3.705036e+02,6.008598e-01,-2.857597e-01,7.465311e-01
8,rmax,normal,8.299371e+02,2.780195e+02,3.529437e+02,5.359275e-01,-6.964874e-01,4.771658e-01
9,lorb,normal,7.378600e+02,4.873764e+02,4.175121e+02,-4.227934e-01,-8.304430e-01,3.627810e-01
10,rorb,normal,6.417372e+02,2.784342e+02,3.933048e+02,4.127712e-01,6.817478e-01,6.040198e-01
11,lmaxna,normal,7.794323e+02,3.946698e+02,4.581287e+02,4.394532e-01,2.231301e-02,8.979883e-01
12,rmaxna,normal,7.154152e+02,3.076834e+02,4.531063e+02,1.655504e-01,-5.063193e-01,8.463060e-01
13,lpto,normal,3.150961e+02,8.010740e+02,2.950912e+02,5.132058e-01,8.556311e-01,6.719550e-02
14,rpto,normal,1.537915e+02,4.268693e+02,2.460466e+02,-7.059253e-02,-9.974676e-01,-8.658356e-03
15,lsqzy,normal,4.414656e+02,7.672629e+02,3.298290e+02,8.905867e-02,9.587848e-01,2.698152e-01
16,rsqzy,normal,2.691567e+02,3.549906e+02,2.867480e+02,-6.453521e-01,-7.074664e-01,2.881182e-01
17,lzya,normal,6.362155e+02,6.539510e+02,3.679549e+02,-6.478906e-01,3.921294e-01,6.530486e-01
18,rzya,normal,4.777617e+02,2.729360e+02,3.261981e+02,-5.647652e-01,9.863456e-02,8.193361e-01
19,brg,normal,3.149633e+02,5.548632e+02,4.701390e+02,-9.203707e-02,5.600304e-01,8.233439e-01
20,pari,normal,1.926128e+02,6.244192e+02,4.088965e+02,9.371383e-02,-9.824502e-01,1.612739e-01
21,paro,normal,9.885123e+01,6.826833e+02,3.034528e+02,-5.406259e-01,6.772686e-01,4.990299e-01
22,nas,normal,6.022195e+02,4.182708e+02,4.857802e+02,7.974446e-01,2.675281e-01,5.408427e-01
23,nsl,normal,8.524370e+02,3.037722e+02,4.348655e+02,-6.684794e-02,-3.599470e-01,9.305748e-01
24,ids,normal,8.592476e+02,3.103047e+02,3.351459e+02,3.105695e-01,4.874921e-01,8.160259e-01
25,leam,normal,3.597340e+02,7.822474e+02,2.355862e+02,-5.169877e-01,8.411425e-01,1.587546e-01
26,ream,normal,2.063315e+02,4.210447e+02,2.024325e+02,-9.294450e-01,-1.966115e-01,-3.122113e-01
27,rpmn,normal,5.736205e+02,4.138820e+02,4.965239e+02,-5.426481e-01,-1.416091e-01,8.279371e-01
28,lpmn,normal,5.923857e+02,4.385584e+02,4.973187e+02,-3.108008e-01,2.334697e-01,9.213549e-01
29,aapl,normal,6.701221e+02,5.196110e+02,1.928326e+02,4.579756e-01,-8.841531e-01,9.236758e-02
30,sial,normal,5.692020e+02,5.825491e+02,2.113583e+02,-9.197702e-01,-3.655934e-02,3.907506e-01
31,tmal,normal,4.530392e+02,7.601974e+02,1.350931e+02,-6.498264e-01,7.108455e-01,-2.691176e-01
32,pmcl,normal,4.336146e+02,7.621991e+02,2.690829e+02,-3.119397e-01,9.042802e-01,-2.914976e-01
33,iiaml,normal,7.203841e+02,4.408573e+02,1.052667e+02,4.703595e-01,7.013853e-02,-8.796832e-01
34,lsiar,normal,7.503876e+02,4.193232e+02,1.696359e+02,-3.019688e-01,4.263257e-01,8.526788e-01
