Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,5.316553e+02,8.453200e+02,2.661647e+02,3.051901e-01,-8.710246e-01,-3.849351e-01
2,raalf,normal,5.548976e+02,8.425568e+02,2.670753e+02,4.501023e-01,-3.278405e-01,-8.306194e-01
3,lflac,normal,4.467548e+02,7.474596e+02,4.370742e+02,-2.432419e-01,8.021736e-01,5.452988e-01
4,rflac,normal,6.183191e+02,7.359983e+02,4.422488e+02,4.305308e-01,1.835536e-01,8.837145e-01
5,lfsq,normal,3.620958e+02,5.357620e+02,4.453837e+02,-4.351297e-01,1.281390e-01,8.912028e-01
6,rfsq,normal,6.144730e+02,4.865667e+02,4.537729e+02,4.261242e-01,-2.278000e-01,8.755143e-01
7,lmax,normal,5.024327e+02,9.433151e+02,3.026517e+02,-1.467068e-01,8.206002e-01,5.523517e-01
8,rmax,normal,5.925818e+02,9.460621e+02,3.090450e+02,5.592153e-01,8.015969e-01,2.114721e-01
9,lorb,normal,4.205410e+02,7.983723e+02,3.479974e+02,7.272631e-01,-4.099908e-02,6.851330e-01
10,rorb,normal,6.572990e+02,7.627583e+02,3.524389e+02,-7.399831e-01,2.817335e-01,6.107792e-01
11,lmaxna,normal,4.916809e+02,8.412915e+02,4.057798e+02,3.392025e-01,5.274261e-01,7.789502e-01
12,rmaxna,normal,6.003399e+02,8.481221e+02,4.168394e+02,8.373061e-01,3.775250e-01,3.954659e-01
13,lpto,normal,2.525050e+02,3.344946e+02,2.895522e+02,-9.203722e-01,3.833458e-01,7.720815e-02
14,rpto,normal,6.412624e+02,2.207712e+02,3.115314e+02,9.076462e-01,2.107177e-02,4.192069e-01
15,lsqzy,normal,2.504709e+02,4.399341e+02,2.995946e+02,-8.454832e-01,-4.313061e-01,-3.148542e-01
16,rsqzy,normal,6.913267e+02,3.534748e+02,3.106923e+02,4.813696e-01,-1.540706e-01,8.628705e-01
17,lzya,normal,3.075750e+02,6.694399e+02,3.031454e+02,-5.382628e-01,-1.646083e-01,8.265454e-01
18,rzya,normal,7.185985e+02,5.933458e+02,3.129272e+02,3.262773e-01,-5.642761e-01,7.583770e-01
19,brg,normal,4.687052e+02,4.113245e+02,4.732007e+02,-3.433891e-01,-2.548688e-01,9.039501e-01
20,pari,normal,4.307735e+02,2.568592e+02,4.336159e+02,2.294869e-01,-5.981288e-01,7.678397e-01
21,paro,normal,4.142946e+02,1.267249e+02,3.706951e+02,-3.940201e-01,-6.208131e-01,6.777457e-01
22,nas,normal,5.254302e+02,6.809641e+02,4.668968e+02,1.772014e-01,-8.275879e-02,9.806889e-01
23,nsl,normal,5.243351e+02,9.380009e+02,3.879174e+02,2.158104e-01,4.007618e-01,8.904021e-01
24,ids,normal,5.509419e+02,9.613751e+02,2.822393e+02,-3.431720e-01,3.007974e-01,8.898054e-01
25,leam,normal,2.576626e+02,3.355997e+02,2.324795e+02,-7.027912e-01,-6.294869e-01,-3.314073e-01
26,ream,normal,6.407424e+02,2.540854e+02,2.433683e+02,2.727309e-01,-9.170862e-01,2.908106e-01
27,rpmn,normal,5.450515e+02,6.699460e+02,4.718971e+02,-7.260798e-02,2.073409e-01,9.755705e-01
28,lpmn,normal,5.016875e+02,6.752048e+02,4.672463e+02,-1.384728e-01,-2.154839e-01,9.666395e-01
29,aapl,normal,4.509981e+02,6.981446e+02,1.653833e+02,6.176209e-01,5.866514e-01,5.238173e-01
30,sial,normal,4.174370e+02,5.876205e+02,1.877311e+02,-6.501565e-01,-7.311682e-01,2.066147e-01
31,tmal,normal,2.727993e+02,4.330853e+02,9.306030e+01,-5.913028e-01,-7.583320e-01,2.743968e-01
32,pmcl,normal,2.677227e+02,4.362821e+02,2.371740e+02,-8.644332e-01,-4.957006e-01,8.388289e-02
33,iiaml,normal,5.101740e+02,7.665571e+02,8.199805e+01,6.603405e-01,5.561047e-01,-5.046763e-01
34,lsiar,normal,5.217742e+02,7.959169e+02,1.418792e+02,-3.227684e-01,-3.901846e-01,8.623089e-01
