Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,2.206297e+02,3.974597e+02,2.231102e+02,2.940499e-01,-1.692961e-01,9.406772e-01
2,raalf,normal,2.308851e+02,3.715614e+02,2.129540e+02,3.412899e-01,5.956652e-02,9.380687e-01
3,lflac,normal,2.958957e+02,5.438139e+02,9.683453e+01,-2.890017e-01,6.185653e-01,-7.306538e-01
4,rflac,normal,3.544282e+02,3.879743e+02,4.056836e+01,2.168020e-01,-5.111390e-01,-8.317054e-01
5,lfsq,normal,4.748081e+02,6.754636e+02,1.212552e+02,-6.391801e-01,6.840590e-01,-3.514428e-01
6,rfsq,normal,5.969608e+02,4.584775e+02,5.100708e+01,2.386404e-01,-2.835456e-01,-9.287910e-01
7,lmax,normal,1.238661e+02,4.174084e+02,1.803210e+02,-8.874594e-01,2.311916e-01,-3.987059e-01
8,rmax,normal,1.661171e+02,3.343543e+02,1.307339e+02,-4.341390e-01,-5.734349e-01,-6.947631e-01
9,lorb,normal,2.356617e+02,5.244049e+02,1.763290e+02,4.665931e-01,-6.040044e-01,-6.461188e-01
10,rorb,normal,3.361147e+02,3.227625e+02,1.072170e+02,-4.006814e-01,8.018043e-01,-4.433559e-01
11,lmaxna,normal,2.385146e+02,4.697506e+02,9.816840e+01,-2.732578e-01,9.496376e-01,-1.533585e-01
12,rmaxna,normal,2.252112e+02,3.644346e+02,7.300156e+01,-3.261723e-01,-8.734022e-01,-3.616356e-01
13,lpto,normal,6.514906e+02,7.943004e+02,3.106290e+02,-4.599888e-02,9.331174e-01,3.566175e-01
14,rpto,normal,8.424043e+02,4.606513e+02,2.045279e+02,4.617946e-01,-5.182883e-01,-7.198076e-01
15,lsqzy,normal,5.271749e+02,7.516179e+02,2.960526e+02,3.011976e-01,8.274288e-01,4.739639e-01
16,rsqzy,normal,7.278993e+02,3.894716e+02,1.712119e+02,7.304116e-01,-5.903726e-01,-3.434514e-01
17,lzya,normal,3.393564e+02,6.500040e+02,2.566140e+02,7.592964e-01,-5.501986e-01,-3.474918e-01
18,rzya,normal,5.239452e+02,3.021187e+02,1.480544e+02,2.602952e-03,7.869432e-01,-6.170200e-01
19,brg,normal,6.151790e+02,6.175201e+02,6.918329e+01,1.035387e-01,4.237856e-01,-8.998253e-01
20,pari,normal,7.477778e+02,6.705712e+02,1.140773e+02,-1.956597e-02,2.129733e-01,-9.768621e-01
21,paro,normal,8.718987e+02,7.052635e+02,2.006835e+02,8.631945e-01,-1.282178e-01,-4.883188e-01
22,nas,normal,3.723701e+02,4.770189e+02,4.840503e+01,-8.529291e-02,2.166384e-02,-9.961204e-01
23,nsl,normal,2.016523e+02,4.213674e+02,8.911752e+01,-2.643980e-01,-4.783669e-01,-8.374119e-01
24,ids,normal,1.042245e+02,3.632007e+02,1.903355e+02,-9.542847e-01,-2.895149e-01,-7.430862e-02
25,leam,normal,6.334303e+02,7.611049e+02,3.612643e+02,-5.133265e-02,6.653206e-01,7.447909e-01
26,ream,normal,8.171197e+02,4.320605e+02,2.574478e+02,7.460478e-01,-6.637495e-01,5.337932e-02
27,rpmn,normal,3.843732e+02,4.613223e+02,3.766211e+01,4.005994e-01,4.224347e-01,-8.130615e-01
28,lpmn,normal,3.785617e+02,5.038388e+02,5.944879e+01,-8.430486e-01,-3.891623e-01,-3.712436e-01
29,aapl,normal,3.303536e+02,4.742898e+02,3.642262e+02,-8.852047e-01,-4.532407e-01,-1.048119e-01
30,sial,normal,4.310971e+02,5.461417e+02,3.676697e+02,3.646335e-01,8.674697e-01,-3.384355e-01
31,tmal,normal,5.636962e+02,6.670413e+02,4.617022e+02,1.398548e-02,7.168329e-01,6.971046e-01
32,pmcl,normal,5.472389e+02,7.247681e+02,3.410945e+02,5.643310e-01,8.079878e-01,1.693695e-01
33,iiaml,normal,2.775224e+02,3.766335e+02,4.226379e+02,-3.421689e-01,-2.314050e-01,9.106987e-01
34,lsiar,normal,2.452201e+02,3.804561e+02,3.658661e+02,1.251097e-01,8.330994e-01,-5.387885e-01
