Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,7.063383e+02,2.175591e+02,3.458989e+02,-1.073163e-01,3.108839e-01,-9.443698e-01
2,raalf,normal,6.770547e+02,2.158995e+02,3.382056e+02,4.114889e-01,3.777093e-01,-8.294653e-01
3,lflac,normal,7.378836e+02,3.461965e+02,4.942866e+02,1.576991e-01,5.290462e-01,8.338112e-01
4,rflac,normal,5.747486e+02,3.235068e+02,4.595748e+02,-7.333966e-01,-3.454090e-01,5.855101e-01
5,lfsq,normal,7.336205e+02,5.886181e+02,4.684608e+02,-1.207895e-01,4.789904e-01,8.694700e-01
6,rfsq,normal,4.816182e+02,5.277739e+02,4.194174e+02,-7.773928e-02,5.997126e-01,7.964305e-01
7,lmax,normal,7.360436e+02,1.519588e+02,4.246708e+02,-9.436776e-01,2.163850e-01,2.503002e-01
8,rmax,normal,6.355978e+02,1.807824e+02,4.233888e+02,1.319078e-01,-4.046113e-02,9.904359e-01
9,lorb,normal,7.825509e+02,3.045786e+02,4.227554e+02,-8.521390e-01,-2.675205e-02,5.226312e-01
10,rorb,normal,5.694467e+02,2.671427e+02,3.763997e+02,7.320178e-01,1.452809e-01,6.656150e-01
11,lmaxna,normal,7.182070e+02,2.239176e+02,4.820507e+02,-6.905111e-01,-2.639920e-01,6.734260e-01
12,rmaxna,normal,6.181351e+02,2.400373e+02,4.578519e+02,2.951964e-01,-3.622087e-01,8.841176e-01
13,lpto,normal,7.773560e+02,8.104646e+02,3.043478e+02,9.756333e-01,-2.065095e-01,7.411703e-02
14,rpto,normal,4.017184e+02,7.278323e+02,2.427374e+02,-9.086695e-01,-3.702922e-01,-1.928817e-01
15,lsqzy,normal,8.219285e+02,6.837608e+02,3.362071e+02,6.524057e-01,6.503077e-01,-3.891872e-01
16,rsqzy,normal,4.106368e+02,5.938092e+02,2.603907e+02,-7.199517e-01,2.578030e-01,-6.443658e-01
17,lzya,normal,8.515308e+02,4.647762e+02,3.733789e+02,-1.057614e-01,6.174476e-01,7.794697e-01
18,rzya,normal,4.637429e+02,3.830911e+02,3.027415e+02,-7.728388e-01,7.973170e-02,6.295736e-01
19,brg,normal,5.875611e+02,6.659293e+02,4.502645e+02,-8.912614e-01,-1.013342e-01,4.420232e-01
20,pari,normal,5.538651e+02,7.809299e+02,3.957794e+02,-3.607565e-01,6.264042e-01,6.909938e-01
21,paro,normal,5.511360e+02,9.069893e+02,2.977578e+02,-4.472668e-01,8.236614e-01,3.486178e-01
22,nas,normal,6.513110e+02,3.836262e+02,4.933972e+02,3.196177e-01,-4.153895e-01,8.516431e-01
23,nsl,normal,6.662146e+02,2.464369e+02,4.714883e+02,-8.325881e-01,1.061060e-01,5.436345e-01
24,ids,normal,6.945162e+02,1.108449e+02,3.740344e+02,9.784634e-02,-9.248890e-01,3.674322e-01
25,leam,normal,7.927418e+02,7.633427e+02,2.534231e+02,4.459166e-01,8.294677e-01,-3.363653e-01
26,ream,normal,4.323568e+02,6.863236e+02,1.891768e+02,-5.420737e-01,8.393792e-01,-3.998240e-02
27,rpmn,normal,6.188463e+02,3.951731e+02,4.943467e+02,-1.304979e-01,-2.004199e-01,9.709800e-01
28,lpmn,normal,6.690784e+02,3.925426e+02,5.039593e+02,-8.698655e-02,1.990214e-01,9.761270e-01
29,aapl,normal,7.622186e+02,3.562264e+02,2.332671e+02,-6.008168e-02,-8.834056e-01,4.647417e-01
30,sial,normal,7.644420e+02,4.782198e+02,2.268381e+02,3.176405e-01,9.045655e-01,2.843692e-01
31,tmal,normal,8.253002e+02,6.633520e+02,1.427659e+02,5.391036e-01,7.586753e-01,-3.657581e-01
32,pmcl,normal,8.245338e+02,6.745558e+02,2.703365e+02,8.421127e-01,4.752814e-01,-2.548605e-01
33,iiaml,normal,7.359344e+02,2.668631e+02,1.617454e+02,2.476892e-01,-4.737525e-01,-8.451086e-01
34,lsiar,normal,7.256517e+02,2.427199e+02,2.229263e+02,2.318047e-01,6.035513e-01,7.628842e-01
