Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,5.458014e+02,8.051415e+02,1.375644e+02,6.256080e-01,-6.805817e-01,-3.813439e-01
2,raalf,normal,5.611666e+02,8.180439e+02,1.464297e+02,6.978138e-01,-4.478843e-01,-5.589772e-01
3,lflac,normal,4.171345e+02,7.204460e+02,2.747790e+02,-6.054181e-01,-7.865320e-01,-1.218045e-01
4,rflac,normal,5.316340e+02,7.910726e+02,3.649528e+02,1.679294e-01,9.808471e-01,9.868554e-02
5,lfsq,normal,4.437090e+02,4.948397e+02,3.983120e+02,-9.814332e-01,-1.830866e-01,5.716860e-02
6,rfsq,normal,6.087234e+02,6.193844e+02,5.092433e+02,-2.154981e-01,3.718750e-01,9.029229e-01
7,lmax,normal,4.749397e+02,8.799561e+02,9.536941e+01,-5.406998e-01,4.386265e-01,-7.178095e-01
8,rmax,normal,5.362104e+02,9.250192e+02,1.409612e+02,-4.986048e-01,5.447299e-01,-6.742868e-01
9,lorb,normal,4.266329e+02,7.105021e+02,1.907658e+02,1.822547e-01,5.746877e-01,7.978203e-01
10,rorb,normal,5.926516e+02,8.337962e+02,3.090841e+02,-9.808618e-01,6.421525e-03,1.945993e-01
11,lmaxna,normal,4.216942e+02,8.235258e+02,2.135101e+02,-1.431410e-01,7.953901e-01,5.889526e-01
12,rmaxna,normal,4.995264e+02,8.851519e+02,2.559105e+02,-9.373164e-01,2.947126e-01,1.859632e-01
13,lpto,normal,5.427866e+02,2.192522e+02,3.842813e+02,-7.914901e-01,-1.474397e-01,-5.931315e-01
14,rpto,normal,8.206892e+02,4.155937e+02,5.661130e+02,1.092276e-01,9.469137e-01,3.023636e-01
15,lsqzy,normal,4.940717e+02,3.232282e+02,3.143483e+02,-8.328506e-01,-5.446185e-01,-9.874462e-02
16,rsqzy,normal,8.021586e+02,5.318505e+02,5.105670e+02,9.462363e-01,-8.148575e-02,3.130444e-01
17,lzya,normal,4.304586e+02,5.296208e+02,2.016486e+02,-3.274733e-01,-2.180456e-01,9.193571e-01
18,rzya,normal,7.203173e+02,7.381184e+02,3.861948e+02,-8.586862e-01,-3.762250e-01,3.480126e-01
19,brg,normal,5.389805e+02,4.799390e+02,5.175159e+02,-9.296808e-03,1.788101e-01,9.838396e-01
20,pari,normal,5.902393e+02,3.756816e+02,5.719184e+02,-2.982667e-01,2.044831e-01,9.323216e-01
21,paro,normal,6.647408e+02,2.322633e+02,5.904005e+02,-3.549045e-01,-6.269812e-01,6.934965e-01
22,nas,normal,4.722881e+02,7.237242e+02,3.629146e+02,-2.810747e-01,6.015390e-01,7.477618e-01
23,nsl,normal,4.455670e+02,9.364496e+02,1.632945e+02,-1.549850e-01,7.729496e-01,6.152467e-01
24,ids,normal,5.170712e+02,9.088234e+02,9.081337e+01,-4.531329e-02,5.133188e-01,8.570008e-01
25,leam,normal,5.801324e+02,2.267608e+02,3.254037e+02,-1.382867e-01,-9.898661e-01,-3.227886e-02
26,ream,normal,8.516160e+02,4.256886e+02,5.062660e+02,9.243255e-01,4.833367e-02,3.785317e-01
27,rpmn,normal,4.839543e+02,7.230804e+02,3.844981e+02,-7.572943e-01,1.671563e-01,6.313193e-01
28,lpmn,normal,4.549982e+02,7.015026e+02,3.617702e+02,-2.382917e-01,-3.097522e-02,9.706995e-01
29,aapl,normal,6.000244e+02,6.126667e+02,1.221247e+02,2.271777e-01,9.438156e-01,2.400048e-01
30,sial,normal,6.120253e+02,5.077719e+02,1.862768e+02,-6.344383e-01,-6.096910e-01,4.751474e-01
31,tmal,normal,6.478153e+02,2.874274e+02,1.873330e+02,8.531816e-02,-9.963304e-01,6.828878e-03
32,pmcl,normal,5.422123e+02,3.175472e+02,2.717849e+02,-1.753197e-02,-8.723210e-01,4.886193e-01
33,iiaml,normal,6.768774e+02,6.832030e+02,4.958026e+01,7.657393e-02,-2.823166e-02,-9.966641e-01
34,lsiar,normal,6.292668e+02,7.304346e+02,7.557416e+01,-6.736065e-01,-3.481339e-01,6.519641e-01
