Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,7.967561e+02,5.784738e+02,2.194337e+02,-1.645914e-01,-2.894813e-01,-9.429265e-01
2,raalf,normal,8.028776e+02,5.552494e+02,2.293494e+02,4.507764e-03,-7.613040e-01,-6.483796e-01
3,lflac,normal,6.743202e+02,6.748558e+02,3.444872e+02,2.514241e-01,9.658417e-01,6.273615e-02
4,rflac,normal,6.946576e+02,5.244642e+02,4.115089e+02,2.993357e-01,1.696249e-01,9.389490e-01
5,lfsq,normal,4.143254e+02,6.496459e+02,3.629210e+02,-3.046719e-01,8.601438e-01,4.090570e-01
6,rfsq,normal,4.740409e+02,4.366754e+02,4.454825e+02,-2.326470e-01,1.966183e-01,9.524792e-01
7,lmax,normal,8.780328e+02,6.433408e+02,2.437897e+02,3.447021e-01,-7.456031e-01,5.703126e-01
8,rmax,normal,9.001630e+02,5.652490e+02,2.718774e+02,6.874806e-01,3.306817e-01,6.465449e-01
9,lorb,normal,6.959967e+02,6.929813e+02,2.728358e+02,5.802957e-01,-1.016593e-02,8.143424e-01
10,rorb,normal,7.606083e+02,4.840457e+02,3.506458e+02,1.829999e-01,9.282031e-01,3.239597e-01
11,lmaxna,normal,7.373940e+02,6.644028e+02,3.541857e+02,6.170655e-01,-6.232440e-02,7.844399e-01
12,rmaxna,normal,8.027993e+02,5.740131e+02,3.758304e+02,3.740621e-01,5.007918e-02,9.260505e-01
13,lpto,normal,1.773691e+02,5.997908e+02,1.982846e+02,-4.971619e-01,4.734029e-01,-7.271311e-01
14,rpto,normal,2.672878e+02,2.451276e+02,3.203825e+02,5.667258e-01,-6.533254e-01,5.019838e-01
15,lsqzy,normal,3.080081e+02,6.635760e+02,1.925228e+02,-5.692406e-01,8.220946e-01,-1.120384e-02
16,rsqzy,normal,3.979750e+02,2.652376e+02,3.474232e+02,2.873759e-02,-9.753909e-01,2.186019e-01
17,lzya,normal,5.196724e+02,6.999791e+02,1.963678e+02,-3.071947e-01,-8.087765e-01,5.015098e-01
18,rzya,normal,6.251319e+02,3.508713e+02,3.472456e+02,-5.355631e-01,-3.017597e-01,7.887415e-01
19,brg,normal,3.402474e+02,5.105553e+02,4.272646e+02,-4.935496e-01,6.638626e-02,8.671802e-01
20,pari,normal,1.893302e+02,4.575572e+02,3.765380e+02,-6.861029e-01,-4.110777e-01,6.002316e-01
21,paro,normal,8.740556e+01,3.959451e+02,3.046315e+02,-9.491233e-01,-3.140022e-01,2.382333e-02
22,nas,normal,6.290259e+02,5.908406e+02,4.058797e+02,3.944781e-01,3.362391e-01,8.551785e-01
23,nsl,normal,9.026287e+02,6.371069e+02,3.238840e+02,2.947926e-01,1.881178e-01,9.368612e-01
24,ids,normal,9.131141e+02,5.917607e+02,2.315785e+02,4.548037e-01,6.724244e-01,5.839512e-01
25,leam,normal,2.177417e+02,5.835106e+02,1.240643e+02,-7.979031e-01,2.811312e-01,-5.332130e-01
26,ream,normal,3.074464e+02,2.358018e+02,2.643127e+02,-8.132635e-01,-5.814170e-01,2.359611e-02
27,rpmn,normal,6.196702e+02,5.733124e+02,4.123572e+02,6.468303e-01,9.952600e-02,7.561118e-01
28,lpmn,normal,6.172242e+02,6.046444e+02,4.036797e+02,-2.779941e-01,4.634688e-01,8.413774e-01
29,aapl,normal,6.330490e+02,5.645914e+02,1.134927e+02,9.523983e-01,8.214542e-02,2.935806e-01
30,sial,normal,5.049923e+02,5.509048e+02,1.151725e+02,-9.079357e-01,1.258986e-01,3.997528e-01
31,tmal,normal,3.268265e+02,5.693132e+02,2.444126e+01,-9.824454e-01,6.403898e-02,-1.752142e-01
32,pmcl,normal,3.031544e+02,6.255968e+02,1.402429e+02,-6.640665e-01,5.775686e-01,-4.747949e-01
33,iiaml,normal,7.314021e+02,5.120171e+02,5.535840e+01,6.164207e-01,-1.181921e-01,-7.784961e-01
34,lsiar,normal,7.581777e+02,5.335248e+02,1.097425e+02,-5.563338e-01,6.449617e-01,5.239438e-01
