Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,7.295852e+02,2.717140e+02,1.970318e+02,-1.768488e-01,1.819574e-01,9.672725e-01
2,raalf,normal,7.466842e+02,2.886454e+02,1.977011e+02,4.463849e-02,2.501932e-01,9.671663e-01
3,lflac,normal,5.638568e+02,3.317531e+02,6.330148e+01,-5.458171e-01,-4.831944e-01,-6.845486e-01
4,rflac,normal,6.772472e+02,4.572293e+02,6.424176e+01,6.277716e-01,6.958083e-01,-3.489322e-01
5,lfsq,normal,3.638073e+02,4.719493e+02,1.107118e+02,1.076832e-01,9.212340e-01,-3.738078e-01
6,rfsq,normal,5.313748e+02,6.503307e+02,1.253688e+02,2.717530e-01,6.869786e-01,-6.739516e-01
7,lmax,normal,7.762980e+02,1.903083e+02,1.321304e+02,6.187910e-01,-7.687436e-01,-1.616506e-01
8,rmax,normal,8.351754e+02,2.496973e+02,1.375717e+02,7.591514e-01,-2.845289e-01,-5.854335e-01
9,lorb,normal,5.860475e+02,2.589683e+02,1.215410e+02,5.305722e-01,6.831273e-01,-5.018266e-01
10,rorb,normal,7.530152e+02,4.268234e+02,1.424194e+02,-4.287164e-01,-7.022347e-01,-5.683913e-01
11,lmaxna,normal,6.406507e+02,3.049091e+02,4.161926e+01,3.910813e-01,2.845899e-01,-8.752509e-01
12,rmaxna,normal,7.357834e+02,3.656364e+02,5.098059e+01,-1.755737e-01,-4.133776e-01,-8.934723e-01
13,lpto,normal,1.661458e+02,5.396277e+02,3.221627e+02,-6.496478e-01,-6.910424e-01,-3.168883e-01
14,rpto,normal,4.327483e+02,8.434315e+02,3.347738e+02,3.596027e-01,9.092192e-01,2.097765e-01
15,lsqzy,normal,2.338175e+02,4.407135e+02,2.812061e+02,-8.385002e-01,-3.677219e-01,-4.021167e-01
16,rsqzy,normal,5.419241e+02,7.594468e+02,3.029260e+02,5.510286e-02,9.982027e-01,-2.356013e-02
17,lzya,normal,4.083279e+02,2.945638e+02,2.021494e+02,-7.770868e-01,-1.241849e-01,-6.170205e-01
18,rzya,normal,7.059788e+02,5.939031e+02,2.204465e+02,7.567704e-01,-4.083270e-02,-6.524042e-01
19,brg,normal,3.742586e+02,6.472614e+02,1.301259e+02,-7.834014e-02,5.967168e-01,-7.986187e-01
20,pari,normal,2.703386e+02,7.360603e+02,2.034783e+02,1.580295e-01,1.820583e-01,-9.705058e-01
21,paro,normal,1.911657e+02,7.983223e+02,2.907737e+02,-4.053975e-01,8.964315e-01,-1.790621e-01
22,nas,normal,5.974775e+02,4.193573e+02,5.142648e+01,4.692920e-01,3.350839e-01,-8.169967e-01
23,nsl,normal,8.091965e+02,2.259416e+02,4.159979e+01,-1.856530e-01,-3.096156e-01,-9.325616e-01
24,ids,normal,8.221174e+02,2.031163e+02,1.567998e+02,7.368534e-01,2.002259e-01,-6.457216e-01
25,leam,normal,1.836229e+02,5.151830e+02,3.761039e+02,-6.144350e-01,-4.107695e-01,6.736010e-01
26,ream,normal,4.645811e+02,8.021812e+02,4.016206e+02,1.086751e-01,5.805683e-01,8.069264e-01
27,rpmn,normal,5.856082e+02,4.675219e+02,5.491766e+01,3.666937e-02,-8.032159e-01,-5.945584e-01
28,lpmn,normal,5.629658e+02,4.230544e+02,4.997662e+01,-2.743910e-01,1.002162e-01,-9.563819e-01
29,aapl,normal,5.865943e+02,2.983901e+02,3.448922e+02,8.409159e-01,-4.441198e-01,-3.092213e-01
30,sial,normal,4.827800e+02,3.684692e+02,3.513125e+02,-7.637445e-01,4.227828e-01,-4.878002e-01
31,tmal,normal,2.894119e+02,4.115909e+02,4.738919e+02,-6.824472e-01,-1.210279e-02,7.308347e-01
32,pmcl,normal,2.693937e+02,4.337432e+02,3.324003e+02,-8.488111e-01,1.390799e-01,5.100751e-01
33,iiaml,normal,6.928821e+02,2.592435e+02,4.046383e+02,7.766034e-01,-5.907203e-01,-2.189443e-01
34,lsiar,normal,7.139122e+02,2.524358e+02,3.395866e+02,-7.623965e-01,-1.904991e-01,-6.184348e-01
