Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,1.996780e+02,5.806656e+02,3.805760e+02,1.781862e-01,-3.572443e-01,-9.168566e-01
2,raalf,normal,2.084297e+02,6.010454e+02,3.745624e+02,1.309836e-01,2.151455e-01,-9.677582e-01
3,lflac,normal,3.379741e+02,4.810314e+02,5.175411e+02,-3.937777e-01,-4.881033e-01,7.789057e-01
4,rflac,normal,3.862026e+02,6.393851e+02,4.988352e+02,5.483055e-01,2.940597e-02,8.357609e-01
5,lfsq,normal,5.433483e+02,3.539755e+02,4.716408e+02,3.062770e-03,-5.433553e-01,8.394971e-01
6,rfsq,normal,6.303771e+02,5.922771e+02,4.522234e+02,4.994606e-01,6.121513e-01,6.130334e-01
7,lmax,normal,1.171924e+02,5.799712e+02,4.516673e+02,-7.894236e-01,-1.784969e-01,5.873238e-01
8,rmax,normal,1.349270e+02,6.663268e+02,4.324294e+02,-4.659593e-01,7.494333e-01,4.703527e-01
9,lorb,normal,2.588189e+02,4.653318e+02,4.524647e+02,2.805249e-01,7.818971e-01,5.567250e-01
10,rorb,normal,3.236705e+02,6.753420e+02,4.209946e+02,-1.404523e-01,-8.455492e-01,5.150920e-01
11,lmaxna,normal,2.228821e+02,5.486929e+02,5.241741e+02,-2.480240e-01,1.265667e-01,9.604504e-01
12,rmaxna,normal,2.649437e+02,6.487502e+02,5.131739e+02,1.431153e-01,7.554325e-01,6.394059e-01
13,lpto,normal,6.867562e+02,2.060707e+02,2.688200e+02,3.354902e-01,-9.228576e-01,1.891567e-01
14,rpto,normal,8.405482e+02,5.834799e+02,2.330571e+02,8.363609e-01,3.356343e-01,4.334169e-01
15,lsqzy,normal,5.809353e+02,2.282365e+02,3.174992e+02,3.107834e-01,-9.109470e-01,-2.712735e-01
16,rsqzy,normal,7.201002e+02,6.480886e+02,2.752833e+02,3.228954e-01,6.946353e-01,6.428220e-01
17,lzya,normal,3.744990e+02,3.251291e+02,3.800831e+02,3.690248e-01,6.184610e-01,6.937770e-01
18,rzya,normal,4.959048e+02,7.100314e+02,3.441492e+02,6.781650e-01,-1.623084e-01,7.167622e-01
19,brg,normal,6.705889e+02,4.401686e+02,4.618854e+02,6.120812e-01,2.641694e-01,7.453665e-01
20,pari,normal,8.130218e+02,3.870076e+02,3.888965e+02,1.578104e-01,-6.382803e-01,7.534548e-01
21,paro,normal,9.178564e+02,3.448756e+02,2.731563e+02,8.639482e-01,-4.834054e-01,1.411122e-01
22,nas,normal,4.114758e+02,5.484372e+02,5.244148e+02,-3.351064e-01,-1.968632e-01,9.213841e-01
23,nsl,normal,1.194862e+02,6.384138e+02,5.189940e+02,-6.708793e-01,1.998565e-01,7.141276e-01
24,ids,normal,9.231004e+01,6.326570e+02,4.213057e+02,2.880027e-01,-2.122203e-01,9.338185e-01
25,leam,normal,6.685406e+02,2.163727e+02,2.018964e+02,1.712579e-01,-9.148512e-01,-3.656747e-01
26,ream,normal,7.909236e+02,5.890682e+02,1.732583e+02,7.617038e-01,4.400066e-01,-4.756064e-01
27,rpmn,normal,4.250004e+02,5.613740e+02,5.171887e+02,-4.520336e-01,-1.542069e-01,8.785704e-01
28,lpmn,normal,4.118348e+02,5.219999e+02,5.244198e+02,-1.274992e-01,8.550822e-01,5.025716e-01
29,aapl,normal,3.009181e+02,4.576981e+02,2.159338e+02,-8.040528e-01,5.092045e-01,3.069364e-01
30,sial,normal,4.186265e+02,3.978729e+02,2.138491e+02,-7.930456e-01,-2.940711e-01,5.334799e-01
31,tmal,normal,5.468409e+02,2.544821e+02,1.188512e+02,1.752742e-01,-8.533931e-01,-4.909167e-01
32,pmcl,normal,5.793571e+02,2.383954e+02,2.602487e+02,-2.299076e-01,-7.741083e-01,-5.898294e-01
33,iiaml,normal,2.250018e+02,5.268869e+02,1.457394e+02,-7.164036e-01,1.121571e-01,-6.886121e-01
34,lsiar,normal,2.106918e+02,5.502626e+02,2.096954e+02,5.869772e-01,-2.188775e-01,7.794552e-01
