Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,1.886207e+02,5.536661e+02,3.277733e+02,1.249917e-01,-1.607813e-01,-9.790437e-01
2,raalf,normal,1.963191e+02,5.786680e+02,3.308774e+02,3.879157e-01,-9.990196e-02,-9.162647e-01
3,lflac,normal,2.995639e+02,4.051819e+02,4.671302e+02,-5.958279e-01,-2.941477e-01,7.473059e-01
4,rflac,normal,3.626684e+02,5.642786e+02,4.813419e+02,1.876691e-01,-6.893376e-01,6.997099e-01
5,lfsq,normal,4.892131e+02,2.740838e+02,4.318050e+02,-2.479990e-01,-8.666691e-01,4.328753e-01
6,rfsq,normal,6.008956e+02,4.979474e+02,4.495139e+02,2.214285e-01,5.595012e-01,7.987038e-01
7,lmax,normal,8.950110e+01,5.585197e+02,3.844181e+02,-9.186428e-01,-1.612064e-01,3.607050e-01
8,rmax,normal,1.247528e+02,6.418864e+02,3.880455e+02,-6.303414e-01,5.087694e-01,5.863646e-01
9,lorb,normal,2.209226e+02,4.099527e+02,4.039547e+02,-3.793551e-02,5.466445e-01,8.365049e-01
10,rorb,normal,3.229100e+02,6.259046e+02,4.150464e+02,-1.702738e-01,-7.978101e-01,5.783649e-01
11,lmaxna,normal,2.181821e+02,4.763882e+02,4.838462e+02,-3.009572e-01,8.238460e-02,9.500724e-01
12,rmaxna,normal,2.452616e+02,5.844591e+02,4.849265e+02,-7.350831e-03,5.333478e-01,8.458641e-01
13,lpto,normal,6.681455e+02,1.251417e+02,2.448188e+02,-2.860836e-01,-4.423627e-01,-8.499832e-01
14,rpto,normal,8.408685e+02,4.922390e+02,2.651174e+02,9.778276e-01,1.721433e-01,-1.192472e-01
15,lsqzy,normal,5.404183e+02,1.618976e+02,2.568401e+02,6.814279e-02,-9.318295e-01,-3.564414e-01
16,rsqzy,normal,7.233353e+02,5.587092e+02,2.943060e+02,3.654954e-01,5.095273e-01,7.789705e-01
17,lzya,normal,3.181841e+02,2.765731e+02,3.234516e+02,8.179615e-01,2.789786e-01,5.031004e-01
18,rzya,normal,4.837327e+02,6.515566e+02,3.613389e+02,4.986215e-01,-5.155652e-01,6.968279e-01
19,brg,normal,6.553533e+02,3.435221e+02,4.356616e+02,1.011200e-01,-5.477179e-01,8.305299e-01
20,pari,normal,7.854559e+02,2.929616e+02,3.753440e+02,4.132941e-01,-5.821354e-01,7.002187e-01
21,paro,normal,8.849717e+02,2.480403e+02,2.848834e+02,-6.948200e-02,-1.705885e-01,9.828895e-01
22,nas,normal,3.653489e+02,4.656298e+02,4.956319e+02,-2.640141e-01,-3.297809e-01,9.063890e-01
23,nsl,normal,9.120097e+01,6.021699e+02,4.728054e+02,-2.554499e-01,7.683113e-01,5.868929e-01
24,ids,normal,8.319495e+01,6.154118e+02,3.568629e+02,-7.536786e-01,6.226620e-01,-2.103821e-01
25,leam,normal,6.311558e+02,1.450659e+02,1.631427e+02,5.769604e-02,-9.141989e-01,-4.011377e-01
26,ream,normal,7.982761e+02,5.112025e+02,1.932694e+02,8.608224e-01,1.525957e-02,-5.086766e-01
27,rpmn,normal,3.861895e+02,4.713933e+02,4.971606e+02,2.149967e-01,-3.796898e-01,8.997844e-01
28,lpmn,normal,3.755408e+02,4.452945e+02,4.917957e+02,2.577116e-01,9.074898e-01,3.317333e-01
29,aapl,normal,2.900797e+02,4.353721e+02,1.764535e+02,-5.912061e-01,6.199699e-01,5.158611e-01
30,sial,normal,3.964452e+02,3.623626e+02,1.665315e+02,8.924161e-01,-3.209550e-01,3.171459e-01
31,tmal,normal,5.134154e+02,2.061203e+02,4.654193e+01,1.953857e-01,-7.134746e-01,-6.728880e-01
32,pmcl,normal,5.272401e+02,1.824980e+02,1.937669e+02,4.280833e-01,-8.376226e-01,-3.393128e-01
33,iiaml,normal,2.220813e+02,5.211348e+02,1.092733e+02,-7.176408e-01,5.112013e-02,-6.945346e-01
34,lsiar,normal,2.063933e+02,5.398261e+02,1.746845e+02,5.010523e-01,-3.544127e-01,7.895178e-01
