Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,5.924712e+02,7.930019e+02,4.413657e+02,1.940204e-01,-5.480987e-01,-8.135992e-01
2,raalf,normal,5.956521e+02,7.822299e+02,4.607181e+02,5.601740e-01,-6.652379e-01,-4.936230e-01
3,lflac,normal,3.770691e+02,7.793502e+02,3.783449e+02,-6.065034e-01,5.780775e-01,-5.458757e-01
4,rflac,normal,4.053449e+02,6.835511e+02,5.347379e+02,-5.869701e-01,-1.444345e-01,7.966208e-01
5,lfsq,normal,2.705331e+02,6.054249e+02,2.620942e+02,-8.453045e-01,3.226296e-01,-4.258760e-01
6,rfsq,normal,3.210259e+02,4.813575e+02,4.895529e+02,-7.877707e-01,-1.143203e-01,6.052671e-01
7,lmax,normal,5.464802e+02,8.961555e+02,4.601982e+02,-3.671472e-01,9.204404e-01,-1.341353e-01
8,rmax,normal,5.927175e+02,8.541755e+02,5.442555e+02,-4.043014e-02,5.638029e-01,8.249192e-01
9,lorb,normal,4.530490e+02,8.117490e+02,3.364891e+02,-4.696153e-01,-3.451105e-02,8.821964e-01
10,rorb,normal,5.152848e+02,6.952867e+02,5.516149e+02,-7.297736e-01,6.221409e-01,-2.834979e-01
11,lmaxna,normal,4.754585e+02,8.634736e+02,4.513383e+02,-4.627900e-01,1.986982e-01,8.639123e-01
12,rmaxna,normal,4.930587e+02,8.070836e+02,5.385978e+02,-2.266130e-01,-1.486283e-01,9.625779e-01
13,lpto,normal,2.972720e+02,3.763071e+02,5.298349e+01,-2.870685e-01,-3.667063e-02,-9.572079e-01
14,rpto,normal,3.746141e+02,1.983393e+02,3.983155e+02,1.034975e-01,-1.193825e-02,9.945581e-01
15,lsqzy,normal,3.484106e+02,5.112976e+02,8.964845e+01,1.527868e-01,-3.585099e-01,-9.209380e-01
16,rsqzy,normal,4.322035e+02,3.041447e+02,4.651555e+02,2.510618e-01,-6.153000e-01,7.472441e-01
17,lzya,normal,4.338549e+02,6.950419e+02,1.807480e+02,-7.046108e-01,-2.702713e-01,6.561075e-01
18,rzya,normal,5.043088e+02,5.167220e+02,5.534633e+02,-7.238190e-01,-2.009314e-01,6.600853e-01
19,brg,normal,2.375648e+02,4.543691e+02,3.500468e+02,-6.464386e-01,-2.109950e-01,7.332109e-01
20,pari,normal,2.060105e+02,3.309058e+02,2.694102e+02,-9.170844e-01,3.261620e-01,2.292912e-01
21,paro,normal,2.271841e+02,1.830424e+02,2.023895e+02,-7.592870e-01,-5.758700e-01,3.030793e-01
22,nas,normal,3.420534e+02,6.929042e+02,4.425019e+02,-9.614778e-02,8.397243e-01,5.344329e-01
23,nsl,normal,4.765839e+02,8.366000e+02,5.015279e+02,-5.993688e-01,-7.728177e-02,7.967337e-01
24,ids,normal,6.132142e+02,8.973948e+02,5.140684e+02,3.861583e-01,8.712269e-01,3.030601e-01
25,leam,normal,3.761460e+02,3.927220e+02,5.298959e+01,1.498192e-01,-5.712391e-01,-8.069945e-01
26,ream,normal,4.498802e+02,2.114543e+02,3.794349e+02,-3.157413e-01,-9.297549e-01,-1.893761e-01
27,rpmn,normal,3.407716e+02,6.775857e+02,4.578255e+02,-9.840640e-01,-1.757467e-01,2.703707e-02
28,lpmn,normal,3.363266e+02,6.947316e+02,4.250073e+02,-2.642519e-01,6.826929e-01,6.812499e-01
29,aapl,normal,6.228130e+02,6.620912e+02,2.853743e+02,4.652564e-01,5.535817e-01,6.907125e-01
30,sial,normal,5.548750e+02,5.736292e+02,2.233546e+02,-9.166375e-01,3.403543e-04,-3.997194e-01
31,tmal,normal,5.171348e+02,4.394416e+02,4.733310e+01,-5.357434e-01,8.957554e-02,-8.396161e-01
32,pmcl,normal,3.997013e+02,4.818560e+02,8.046649e+01,-3.911545e-01,2.940385e-01,-8.720892e-01
33,iiaml,normal,7.386575e+02,6.800420e+02,3.326110e+02,9.958344e-01,-3.539598e-02,-8.403043e-02
34,lsiar,normal,6.970305e+02,7.257291e+02,3.658958e+02,-8.782067e-01,1.810593e-01,-4.426856e-01
