Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,7.372047e+02,7.284810e+02,2.054490e+02,-6.379679e-01,-3.536347e-01,-6.840611e-01
2,raalf,normal,7.537062e+02,7.119413e+02,2.129855e+02,-1.419802e-01,-3.012317e-01,-9.429216e-01
3,lflac,normal,6.112598e+02,7.837922e+02,3.645269e+02,-6.761209e-01,3.691884e-01,6.376209e-01
4,rflac,normal,7.081714e+02,6.575469e+02,4.086228e+02,1.920549e-01,-2.660989e-01,9.446197e-01
5,lfsq,normal,4.172907e+02,6.935723e+02,4.140667e+02,2.621132e-02,-1.928675e-01,9.808747e-01
6,rfsq,normal,5.490765e+02,4.977363e+02,4.781815e+02,1.592072e-01,-5.426931e-02,9.857524e-01
7,lmax,normal,7.894175e+02,8.268880e+02,2.206367e+02,4.155081e-01,-9.087362e-01,3.938917e-02
8,rmax,normal,8.477536e+02,7.594882e+02,2.294145e+02,9.768319e-01,2.129374e-01,2.138353e-02
9,lorb,normal,6.334253e+02,8.104683e+02,2.717260e+02,7.584776e-01,3.649427e-02,6.506765e-01
10,rorb,normal,7.650648e+02,6.373417e+02,3.425358e+02,-5.902097e-01,7.738748e-01,2.297177e-01
11,lmaxna,normal,7.236674e+02,8.186486e+02,3.189281e+02,7.023198e-01,2.833914e-01,6.530210e-01
12,rmaxna,normal,7.862878e+02,7.417362e+02,3.478033e+02,7.271323e-01,-1.734713e-01,6.642185e-01
13,lpto,normal,1.912404e+02,5.652391e+02,2.598659e+02,-5.945801e-01,6.916484e-01,4.099965e-01
14,rpto,normal,3.945188e+02,2.639524e+02,3.996922e+02,4.350676e-01,3.759279e-01,8.181653e-01
15,lsqzy,normal,2.816232e+02,6.641449e+02,2.686148e+02,-9.835613e-01,-3.389465e-02,-1.773648e-01
16,rsqzy,normal,5.147646e+02,3.162430e+02,3.910251e+02,4.335167e-01,-7.444905e-01,5.077372e-01
17,lzya,normal,4.690536e+02,7.811880e+02,2.465942e+02,7.869420e-03,-4.346559e-01,9.005623e-01
18,rzya,normal,7.021469e+02,4.785085e+02,3.582197e+02,6.245269e-01,-3.756125e-01,6.847492e-01
19,brg,normal,3.795624e+02,5.432917e+02,4.810490e+02,-5.721917e-01,4.005334e-01,7.156602e-01
20,pari,normal,2.692604e+02,4.603400e+02,4.662286e+02,-1.861984e-01,-4.585383e-01,8.689492e-01
21,paro,normal,1.736692e+02,3.624822e+02,3.996920e+02,-9.175665e-01,-3.345966e-01,2.147481e-01
22,nas,normal,6.262517e+02,7.049755e+02,4.146443e+02,8.561285e-01,4.057927e-01,3.199630e-01
23,nsl,normal,8.425404e+02,8.295428e+02,2.844401e+02,-4.438439e-02,9.045310e-01,4.240915e-01
24,ids,normal,8.315730e+02,7.914964e+02,1.924704e+02,8.533877e-02,4.230798e-01,9.020648e-01
25,leam,normal,2.224327e+02,5.651313e+02,2.164299e+02,-7.589021e-01,-1.811928e-01,-6.254892e-01
26,ream,normal,4.289198e+02,2.600900e+02,3.316841e+02,-5.347775e-01,-7.395024e-01,4.088387e-01
27,rpmn,normal,6.256942e+02,6.867546e+02,4.290184e+02,1.505937e-01,-1.732523e-01,9.732959e-01
28,lpmn,normal,6.106928e+02,7.158967e+02,4.176387e+02,-4.347389e-01,-6.294082e-02,8.983544e-01
29,aapl,normal,5.975681e+02,6.602882e+02,1.347114e+02,9.361504e-01,3.294410e-01,-1.228455e-01
30,sial,normal,4.973658e+02,6.145430e+02,1.752264e+02,-6.186396e-01,-3.609805e-01,6.978381e-01
31,tmal,normal,3.076400e+02,5.620010e+02,9.582301e+01,-8.313994e-01,-2.103550e-01,-5.143209e-01
32,pmcl,normal,2.871198e+02,6.239429e+02,2.257476e+02,-8.531141e-01,4.408077e-01,-2.790785e-01
33,iiaml,normal,6.875801e+02,6.347405e+02,5.685419e+01,3.754686e-01,3.511529e-02,-9.261696e-01
34,lsiar,normal,7.145421e+02,6.661213e+02,1.034314e+02,-3.736436e-01,-7.996368e-02,9.241192e-01
