Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,1.605223e+02,6.283856e+02,3.701797e+02,8.152420e-01,-2.670965e-01,-5.138482e-01
2,raalf,normal,1.590781e+02,6.524926e+02,3.680388e+02,7.578859e-01,1.706605e-01,-6.296698e-01
3,lflac,normal,3.275800e+02,5.692230e+02,5.045459e+02,-2.320061e-01,-5.735469e-01,7.856316e-01
4,rflac,normal,3.127918e+02,7.480744e+02,4.889759e+02,1.098805e-01,6.375934e-01,7.624965e-01
5,lfsq,normal,5.440486e+02,5.391220e+02,4.469345e+02,5.254024e-01,-5.985223e-02,8.487462e-01
6,rfsq,normal,5.225496e+02,7.870297e+02,4.334707e+02,5.544608e-01,-2.775799e-01,7.845525e-01
7,lmax,normal,8.690573e+01,5.984219e+02,4.525811e+02,-6.490281e-01,-6.642417e-01,3.708714e-01
8,rmax,normal,7.700439e+01,6.896768e+02,4.344648e+02,-7.129201e-01,4.509627e-01,5.370081e-01
9,lorb,normal,2.577974e+02,5.251127e+02,4.421592e+02,-1.481784e-01,8.310840e-01,5.360436e-01
10,rorb,normal,2.442897e+02,7.718044e+02,4.224952e+02,-1.340611e-01,-5.688662e-01,8.114301e-01
11,lmaxna,normal,1.750621e+02,5.995361e+02,4.990789e+02,-1.382214e-01,3.456421e-01,9.281305e-01
12,rmaxna,normal,1.714391e+02,7.102649e+02,4.842670e+02,-2.956159e-01,-1.339309e-01,9.458720e-01
13,lpto,normal,7.604099e+02,4.692730e+02,2.653177e+02,8.435925e-01,-1.775710e-01,-5.067744e-01
14,rpto,normal,7.220081e+02,8.680149e+02,2.165124e+02,3.726358e-01,8.253415e-01,-4.242099e-01
15,lsqzy,normal,6.227853e+02,4.392407e+02,2.899615e+02,3.189941e-01,-7.691109e-01,5.538153e-01
16,rsqzy,normal,5.877055e+02,8.796596e+02,2.519801e+02,2.491866e-01,8.615929e-01,-4.422259e-01
17,lzya,normal,3.924655e+02,4.456382e+02,3.595883e+02,5.487998e-01,5.296954e-01,6.467161e-01
18,rzya,normal,3.567246e+02,8.488322e+02,3.336986e+02,7.298254e-01,-3.986571e-01,5.553624e-01
19,brg,normal,6.509628e+02,6.848309e+02,4.219939e+02,8.717752e-01,2.347777e-01,4.299856e-01
20,pari,normal,7.741583e+02,6.793098e+02,3.559503e+02,6.414753e-01,-3.305735e-01,6.922649e-01
21,paro,normal,8.883901e+02,6.837196e+02,2.496424e+02,9.892718e-01,1.426007e-02,1.453884e-01
22,nas,normal,3.708863e+02,6.627407e+02,5.057094e+02,-5.201233e-01,-2.593106e-02,8.536974e-01
23,nsl,normal,1.332579e+02,6.574594e+02,5.160682e+02,5.951345e-02,7.407624e-01,6.691256e-01
24,ids,normal,5.830505e+01,6.402508e+02,4.272871e+02,-7.101601e-02,5.575455e-01,8.271033e-01
25,leam,normal,7.006901e+02,4.624157e+02,1.933571e+02,5.441193e-01,-4.588878e-01,-7.023932e-01
26,ream,normal,6.725596e+02,8.567480e+02,1.640013e+02,4.890922e-01,7.011986e-01,-5.187576e-01
27,rpmn,normal,3.862550e+02,6.884615e+02,5.007895e+02,7.113152e-01,3.823208e-01,5.897978e-01
28,lpmn,normal,3.868148e+02,6.371745e+02,5.073781e+02,8.478934e-01,3.315289e-01,4.137215e-01
29,aapl,normal,2.818220e+02,5.626093e+02,2.217869e+02,-8.886911e-01,-2.828522e-01,3.608637e-01
30,sial,normal,3.989713e+02,5.574731e+02,2.172973e+02,9.449366e-01,-2.411394e-01,2.212388e-01
31,tmal,normal,5.742485e+02,4.638109e+02,8.972316e+01,6.196883e-01,-5.430717e-01,-5.666211e-01
32,pmcl,normal,5.994385e+02,4.552510e+02,2.348853e+02,7.102489e-01,2.896309e-01,-6.416076e-01
33,iiaml,normal,1.871112e+02,6.052931e+02,1.544426e+02,-4.570837e-01,-4.890401e-01,-7.429093e-01
34,lsiar,normal,1.672275e+02,6.096250e+02,2.200595e+02,5.648730e-01,-3.696193e-01,7.377670e-01
