Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,5.316553e+02,8.453200e+02,2.661647e+02,0.000000e+00,0.000000e+00,1.000000e+00
2,raalf,normal,5.548976e+02,8.425568e+02,2.670753e+02,0.000000e+00,0.000000e+00,1.000000e+00
3,lflac,normal,4.467548e+02,7.474596e+02,4.370742e+02,0.000000e+00,0.000000e+00,1.000000e+00
4,rflac,normal,6.183191e+02,7.359983e+02,4.422488e+02,0.000000e+00,0.000000e+00,1.000000e+00
5,lfsq,normal,3.620958e+02,5.357620e+02,4.453837e+02,0.000000e+00,0.000000e+00,1.000000e+00
6,rfsq,normal,6.144730e+02,4.865667e+02,4.537729e+02,0.000000e+00,0.000000e+00,1.000000e+00
7,lmax,normal,5.024327e+02,9.433151e+02,3.026517e+02,0.000000e+00,0.000000e+00,1.000000e+00
8,rmax,normal,5.925818e+02,9.460621e+02,3.090450e+02,0.000000e+00,0.000000e+00,1.000000e+00
9,lorb,normal,4.205410e+02,7.983723e+02,3.479974e+02,0.000000e+00,0.000000e+00,1.000000e+00
10,rorb,normal,6.572990e+02,7.627583e+02,3.524389e+02,0.000000e+00,0.000000e+00,1.000000e+00
11,lmaxna,normal,4.886473e+02,8.854152e+02,3.775499e+02,-2.486483e-02,6.878274e-01,7.254483e-01
12,rmaxna,normal,5.987098e+02,8.829688e+02,3.972082e+02,-5.520499e-01,3.905225e-01,7.367043e-01
13,lpto,normal,2.525050e+02,3.344946e+02,2.895522e+02,0.000000e+00,0.000000e+00,1.000000e+00
14,rpto,normal,6.412624e+02,2.207712e+02,3.115314e+02,0.000000e+00,0.000000e+00,1.000000e+00
15,lsqzy,normal,2.504709e+02,4.399341e+02,2.995946e+02,0.000000e+00,0.000000e+00,1.000000e+00
16,rsqzy,normal,6.913267e+02,3.534748e+02,3.106923e+02,0.000000e+00,0.000000e+00,1.000000e+00
17,lzya,normal,3.075750e+02,6.694399e+02,3.031454e+02,0.000000e+00,0.000000e+00,1.000000e+00
18,rzya,normal,7.185985e+02,5.933458e+02,3.129272e+02,0.000000e+00,0.000000e+00,1.000000e+00
19,brg,normal,4.687052e+02,4.113245e+02,4.732007e+02,0.000000e+00,0.000000e+00,1.000000e+00
20,pari,normal,4.307735e+02,2.568592e+02,4.336159e+02,0.000000e+00,0.000000e+00,1.000000e+00
21,paro,normal,4.142946e+02,1.267249e+02,3.706951e+02,0.000000e+00,0.000000e+00,1.000000e+00
22,nas,normal,5.254302e+02,6.809641e+02,4.668968e+02,0.000000e+00,0.000000e+00,1.000000e+00
23,nsl,normal,5.246967e+02,9.444313e+02,3.845431e+02,-9.636877e-01,1.992063e-01,1.778281e-01
24,ids,normal,5.509419e+02,9.613751e+02,2.822393e+02,0.000000e+00,0.000000e+00,1.000000e+00
25,leam,normal,2.576626e+02,3.355997e+02,2.324795e+02,0.000000e+00,0.000000e+00,1.000000e+00
26,ream,normal,6.407424e+02,2.540854e+02,2.433683e+02,0.000000e+00,0.000000e+00,1.000000e+00
27,rpmn,normal,5.450515e+02,6.699460e+02,4.718971e+02,0.000000e+00,0.000000e+00,1.000000e+00
28,lpmn,normal,5.016875e+02,6.752048e+02,4.672463e+02,0.000000e+00,0.000000e+00,1.000000e+00
29,aapl,normal,4.509981e+02,6.981446e+02,1.653833e+02,0.000000e+00,0.000000e+00,1.000000e+00
30,sial,normal,4.174370e+02,5.876205e+02,1.877311e+02,0.000000e+00,0.000000e+00,1.000000e+00
31,tmal,normal,2.727993e+02,4.330853e+02,9.306030e+01,0.000000e+00,0.000000e+00,1.000000e+00
32,pmcl,normal,2.677227e+02,4.362821e+02,2.371740e+02,0.000000e+00,0.000000e+00,1.000000e+00
33,iiaml,normal,5.101740e+02,7.665571e+02,8.199805e+01,0.000000e+00,0.000000e+00,1.000000e+00
34,lsiar,normal,5.217742e+02,7.959169e+02,1.418792e+02,0.000000e+00,0.000000e+00,1.000000e+00
