Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,2.724015e+02,7.210527e+02,3.893467e+02,2.422016e-01,-6.569393e-01,-7.139812e-01
2,raalf,normal,2.833683e+02,7.369406e+02,4.020327e+02,6.827199e-01,-1.588770e-01,-7.131981e-01
3,lflac,normal,2.875735e+02,5.291342e+02,4.481554e+02,-4.121665e-01,-5.866714e-01,6.970907e-01
4,rflac,normal,3.890993e+02,6.285608e+02,5.407363e+02,-2.027413e-01,-1.086676e-01,9.731840e-01
5,lfsq,normal,4.553551e+02,3.749676e+02,3.871593e+02,-2.011469e-01,-8.821399e-01,4.258746e-01
6,rfsq,normal,5.873042e+02,5.156513e+02,5.169978e+02,-1.001341e-01,-7.055749e-01,7.015249e-01
7,lmax,normal,1.666875e+02,7.397668e+02,4.203318e+02,-7.401763e-01,2.933306e-01,6.050588e-01
8,rmax,normal,2.399824e+02,7.570969e+02,4.959207e+02,-5.535588e-01,3.484484e-01,7.564102e-01
9,lorb,normal,2.563799e+02,5.700657e+02,3.849546e+02,1.822375e-01,3.165542e-01,9.309044e-01
10,rorb,normal,3.787495e+02,7.095421e+02,5.085006e+02,-8.414766e-01,-4.618360e-01,2.804008e-01
11,lmaxna,normal,2.231689e+02,6.145660e+02,4.757747e+02,-1.759678e-01,2.594681e-01,9.495850e-01
12,rmaxna,normal,2.613952e+02,6.988876e+02,5.319879e+02,1.117398e-01,4.762360e-01,8.721890e-01
13,lpto,normal,6.506356e+02,2.939707e+02,1.446296e+02,-1.563313e-01,-8.152530e-01,-5.576047e-01
14,rpto,normal,8.617084e+02,5.301447e+02,3.879690e+02,8.159145e-01,7.906627e-02,5.727410e-01
15,lsqzy,normal,5.219311e+02,3.353973e+02,1.940726e+02,-2.757974e-01,-8.100229e-01,-5.174929e-01
16,rsqzy,normal,7.597490e+02,6.079547e+02,4.337810e+02,6.655665e-01,4.195235e-01,6.172692e-01
17,lzya,normal,3.426783e+02,4.610526e+02,2.585951e+02,2.279492e-01,-8.091285e-01,5.416183e-01
18,rzya,normal,5.650021e+02,7.058427e+02,4.805616e+02,5.214576e-01,-1.206182e-01,8.447090e-01
19,brg,normal,6.066183e+02,3.773597e+02,4.347552e+02,3.746176e-01,-4.978170e-01,7.822021e-01
20,pari,normal,7.415242e+02,3.213081e+02,3.674737e+02,-2.194658e-01,-5.224580e-01,8.239372e-01
21,paro,normal,8.640684e+02,3.202171e+02,2.982875e+02,7.804211e-01,-6.101983e-01,-1.363858e-01
22,nas,normal,3.763206e+02,5.305789e+02,5.077400e+02,-3.674917e-01,-2.093034e-01,9.061688e-01
23,nsl,normal,1.577334e+02,7.221298e+02,5.102186e+02,-2.671915e-01,6.271444e-02,9.616006e-01
24,ids,normal,1.791751e+02,7.752095e+02,4.267681e+02,-3.597531e-02,-3.539190e-01,9.345838e-01
25,leam,normal,6.358017e+02,3.545469e+02,1.163777e+02,5.680576e-01,-4.590932e-01,-6.830402e-01
26,ream,normal,8.398740e+02,5.824347e+02,3.286629e+02,8.614132e-01,-5.061086e-01,-4.267847e-02
27,rpmn,normal,3.946194e+02,5.490563e+02,5.216698e+02,7.713954e-01,-3.134553e-01,5.538004e-01
28,lpmn,normal,3.652700e+02,5.133810e+02,4.956583e+02,-1.101478e-01,-4.973676e-01,8.605190e-01
29,aapl,normal,3.704054e+02,6.571085e+02,2.346437e+02,-2.333307e-01,7.440578e-01,6.260470e-01
30,sial,normal,4.680833e+02,5.750918e+02,2.032510e+02,-3.752457e-01,-9.242330e-01,7.059868e-02
31,tmal,normal,5.897292e+02,4.820768e+02,6.530804e+01,6.190855e-01,-7.162149e-01,3.221326e-01
32,pmcl,normal,5.497325e+02,3.710350e+02,1.553055e+02,4.366316e-01,-6.211024e-01,-6.508338e-01
33,iiaml,normal,3.513393e+02,7.804731e+02,2.158351e+02,-1.972027e-01,6.383787e-01,-7.440320e-01
34,lsiar,normal,3.097332e+02,7.638096e+02,2.705679e+02,-2.358267e-01,-9.600397e-01,-1.506972e-01
