Landmarks,34,v1.0,(cm)
#,Name,Type,X,Y,Z,NX,NY,NZ
1,laalf,normal,2.472900e+02,6.320612e+02,1.916183e+02,3.921712e-01,-1.236169e-01,-9.115485e-01
2,raalf,normal,2.556843e+02,6.547119e+02,2.033086e+02,7.957447e-01,-1.857472e-01,-5.764444e-01
3,lflac,normal,2.799833e+02,4.735821e+02,3.239954e+02,-3.552851e-01,-8.886852e-01,2.898469e-01
4,rflac,normal,3.173564e+02,6.154120e+02,4.033382e+02,-3.336515e-01,-3.475948e-01,8.762732e-01
5,lfsq,normal,4.843415e+02,3.551624e+02,3.847557e+02,-6.293517e-01,-7.400243e-01,2.372351e-01
6,rfsq,normal,5.142100e+02,5.604652e+02,4.855634e+02,-1.915780e-01,-2.991967e-01,9.347616e-01
7,lmax,normal,1.398098e+02,6.220858e+02,1.892948e+02,-9.992999e-01,-5.825771e-03,-3.695336e-02
8,rmax,normal,1.612408e+02,6.969643e+02,2.291303e+02,-8.077527e-01,3.768483e-01,4.533440e-01
9,lorb,normal,2.581192e+02,4.858635e+02,2.410005e+02,-2.156637e-01,2.921950e-01,9.317248e-01
10,rorb,normal,3.031815e+02,6.834988e+02,3.397561e+02,-2.863840e-01,-9.555341e-01,-7.027691e-02
11,lmaxna,normal,1.779615e+02,5.520134e+02,2.913259e+02,-5.826932e-01,-1.818610e-02,8.124887e-01
12,rmaxna,normal,1.913139e+02,6.487169e+02,3.309169e+02,-7.141775e-01,-1.461457e-01,6.845378e-01
13,lpto,normal,7.466934e+02,2.602502e+02,2.856089e+02,-9.453338e-02,-9.525945e-01,-2.891835e-01
14,rpto,normal,8.277777e+02,6.044875e+02,4.505496e+02,4.156575e-01,1.541461e-01,8.963637e-01
15,lsqzy,normal,6.074857e+02,2.869842e+02,2.448753e+02,2.613450e-01,-9.037874e-01,-3.389202e-01
16,rsqzy,normal,6.970502e+02,6.512345e+02,4.354948e+02,8.218214e-01,5.650680e-01,-7.285403e-02
17,lzya,normal,4.016136e+02,3.720641e+02,2.078539e+02,1.655780e-01,4.024698e-01,9.003344e-01
18,rzya,normal,4.741552e+02,7.201396e+02,3.809537e+02,5.043432e-02,-7.680961e-01,6.383451e-01
19,brg,normal,5.973989e+02,4.197452e+02,4.819226e+02,1.194938e-01,-5.137007e-01,8.496075e-01
20,pari,normal,7.430975e+02,3.808459e+02,4.814682e+02,1.404699e-02,5.353504e-01,8.445132e-01
21,paro,normal,8.715150e+02,3.685107e+02,4.544185e+02,4.634061e-01,-6.849157e-01,5.622680e-01
22,nas,normal,3.334542e+02,5.081587e+02,3.962033e+02,-7.948598e-01,-1.480818e-01,5.884468e-01
23,nsl,normal,8.823212e+01,6.445988e+02,2.619244e+02,-6.600786e-01,2.691541e-01,7.013218e-01
24,ids,normal,1.409479e+02,6.735797e+02,1.738099e+02,-9.949474e-01,1.468114e-02,9.931826e-02
25,leam,normal,7.374637e+02,2.934103e+02,2.240573e+02,3.514442e-01,-8.567811e-01,-3.773767e-01
26,ream,normal,8.193226e+02,6.304150e+02,3.859644e+02,9.117342e-01,1.635169e-01,3.768328e-01
27,rpmn,normal,3.412576e+02,5.431603e+02,4.175182e+02,3.075157e-01,-1.749127e-01,9.353286e-01
28,lpmn,normal,3.421274e+02,4.930966e+02,3.967657e+02,-7.907501e-01,-5.921866e-01,1.550139e-01
29,aapl,normal,4.081245e+02,5.530000e+02,1.227337e+02,-3.144186e-01,7.215666e-01,6.168326e-01
30,sial,normal,5.065542e+02,4.904216e+02,1.531761e+02,3.781514e-01,-2.523980e-01,8.906721e-01
31,tmal,normal,6.820776e+02,3.855193e+02,8.669842e+01,4.524567e-01,-8.026566e-01,3.886199e-01
32,pmcl,normal,6.275235e+02,3.220876e+02,2.004057e+02,2.446010e-01,-9.560342e-01,-1.617685e-01
33,iiaml,normal,3.694193e+02,6.473618e+02,5.211914e+01,-1.714211e-01,1.947858e-01,-9.657501e-01
34,lsiar,normal,3.171141e+02,6.451881e+02,1.003060e+02,-4.765359e-03,-9.044780e-01,4.264937e-01
